time,Date,S,E,I,R
135,2020-06-05,7898504034.244654,213598.75534627936,656443.0,625924.0
136,2020-06-06,7898438754.543496,232574.45650408967,683824.0,644847.0
137,2020-06-07,7898454829.760759,184055.23924064808,701020.0,660095.0
138,2020-06-08,7898609044.0,0.0,627577.0,763379.0
139,2020-06-09,7898398147.689279,167083.31072182706,643002.0,791767.0
140,2020-06-10,7898316632.446402,199669.55359876584,664347.0,819351.0
141,2020-06-11,7898289773.671903,182836.32809746728,681836.0,845554.0
142,2020-06-12,7898257784.187788,174103.81221165988,697150.0,870962.0
143,2020-06-13,7898230175.001677,163339.9983233229,709953.0,896532.0
144,2020-06-14,7898206291.840598,154733.15940148642,720733.0,918242.0
145,2020-06-15,7898106187.0580015,214825.94199810148,742911.0,936076.0
146,2020-06-16,7898117905.555253,151788.4447474245,752221.0,978085.0
147,2020-06-17,7898226382.0,0.0,731530.0,1042088.0
148,2020-06-18,7898012783.133542,173402.86645775195,745355.0,1068459.0
149,2020-06-19,7897806133.355245,307031.6447555549,784802.0,1102033.0
150,2020-06-20,7897707052.706893,326947.29310715524,827050.0,1138950.0
151,2020-06-21,7898038412.0,0.0,801627.0,1159961.0
152,2020-06-22,7897782620.060401,212609.9395990435,821172.0,1183598.0
153,2020-06-23,7897746794.476333,194666.5236672489,836694.0,1221845.0
154,2020-06-24,7897726357.929595,159363.0704051305,844925.0,1269354.0
155,2020-06-25,7897575585.103149,252261.8968503608,871006.0,1301147.0
156,2020-06-26,7897527445.2164,239894.7835998993,893971.0,1338689.0
157,2020-06-27,7897514833.965305,200210.0346946741,908590.0,1376366.0
158,2020-06-28,7897453229.920017,214298.0799829681,925552.0,1406920.0
159,2020-06-29,7897434416.260408,196707.73959152307,938630.0,1430246.0
160,2020-06-30,7897394481.871289,183097.12871039315,948704.0,1473717.0
161,2020-07-01,7897297116.02311,219755.97688993532,965636.0,1517492.0
162,2020-07-02,7897458284.0,0.0,868943.0,1672773.0
163,2020-07-03,7897188518.732046,211578.26795393668,886455.0,1713448.0
